Candidates,Max depth,Min samples,Window size,Remove candi,k,useValidationSet,% Training set,useClustering,NumCluster(Medoids),Accuracy,Time
Motifs,3,10,5,1,2,True,0.3,True,40,0.4,17.37
Motifs,3,10,10,0,2,True,0.3,True,40,0.67,17.6
Motifs,3,10,10,0,2,True,0.3,True,40,0.8,17.06
Motifs,3,10,10,0,2,True,0.3,True,40,0.2,14.31
Motifs,3,10,10,1,2,True,0.3,True,40,0.67,17.36
Motifs,3,10,15,0,2,True,0.3,True,40,0.8,15.5
Motifs,3,10,15,0,2,True,0.3,True,40,0.73,16.72
Motifs,3,10,15,0,2,True,0.3,True,40,1.0,17.75
Motifs,3,10,20,0,2,True,0.3,True,40,0.93,16.27
Motifs,3,10,20,0,2,True,0.3,True,40,0.73,14.55
Motifs,3,10,20,0,2,True,0.3,True,40,0.73,15.63
Motifs,3,10,15,0,2,True,0.3,True,40,0.87,17.86
Discords,3,10,15,0,2,True,0.3,True,40,0.53,17.06
Discords,3,10,15,0,2,True,0.3,True,40,0.67,20.26
Discords,3,10,15,0,2,True,0.3,True,40,0.6,19.37
Motifs,4,10,15,0,2,True,0.3,True,40,0.93,15.2
Motifs,4,10,15,0,2,False,1,True,40,0.83,23.76
Motifs,4,10,15,0,2,False,1,True,40,0.83,25.53
Motifs,4,10,15,0,2,False,0.1,True,40,0.64,1.53
Motifs,4,10,15,0,2,False,0.1,True,40,0.63,1.33
Motifs,4,10,15,0,2,False,0.1,True,40,0.52,1.37
Motifs,4,10,15,0,2,False,0.1,True,40,0.59,1.56
Motifs,4,10,15,0,2,False,0.1,True,40,0.65,1.42
Motifs,4,10,15,0,2,False,0.1,True,40,0.64,1.37
Motifs,4,10,15,0,2,False,0.1,True,40,0.65,1.54
Motifs,4,10,15,0,2,False,0.2,True,40,0.74,2.86
Motifs,4,10,15,0,2,False,0.2,True,40,0.73,2.59
Motifs,4,10,15,0,2,False,0.2,True,40,0.75,2.54
Motifs,4,10,15,0,2,False,0.2,True,40,0.74,2.44
Motifs,4,10,15,0,2,False,0.3,True,40,0.72,4.0
Motifs,4,10,15,0,2,False,0.3,True,40,0.79,3.27
Motifs,4,10,15,0,2,False,0.3,True,40,0.79,3.8
Motifs,4,10,15,0,2,False,0.3,True,40,0.76,4.68
Motifs,4,10,15,0,2,False,0.4,True,40,0.69,6.95
Motifs,4,10,15,0,2,False,0.4,True,40,0.66,5.48
Motifs,4,10,15,0,2,False,0.4,True,40,0.73,8.12
Motifs,4,10,15,0,2,False,0.4,True,40,0.73,7.17
Motifs,4,10,15,0,2,False,0.4,True,40,0.73,6.38
Motifs,4,10,15,0,2,False,0.5,True,40,0.77,11.22
Motifs,4,10,15,0,2,False,0.5,True,40,0.81,11.15
Motifs,4,10,15,1,2,False,0.5,True,40,0.79,10.44
Motifs,4,10,15,1,2,False,0.5,True,40,0.72,10.73
Motifs,4,10,15,1,2,False,0.5,True,40,0.82,10.92
Motifs,4,10,15,1,2,False,0.5,True,40,0.69,12.49
Motifs,4,10,15,1,2,False,0.5,True,40,0.83,10.78
Motifs,4,10,15,1,2,False,0.5,True,40,0.91,9.84
Motifs,4,10,15,1,2,False,0.5,True,40,0.79,11.55
Motifs,4,10,15,1,2,False,0.5,True,40,0.77,9.75
Motifs,4,10,15,1,2,False,0.5,True,40,0.77,11.1
Motifs,4,10,15,1,2,False,0.5,True,40,0.81,10.62
Motifs,4,10,15,1,2,False,0.5,True,40,0.73,11.98
Motifs,4,10,15,1,2,False,0.6,True,40,0.83,12.43
Motifs,4,10,15,1,2,False,0.6,True,40,0.74,10.94
Motifs,4,10,15,1,2,False,0.6,True,40,0.84,13.13
Motifs,4,10,15,1,2,False,0.6,True,40,0.83,13.5
Motifs,4,10,15,1,2,False,0.7,True,40,0.8,14.48
Motifs,4,10,15,1,2,False,0.7,True,40,0.84,15.38
Motifs,4,10,15,1,2,False,0.7,True,40,0.84,12.22
Motifs,4,10,15,1,2,False,0.8,True,40,0.79,17.33
Motifs,4,10,15,1,2,False,0.8,True,40,0.89,20.23
Motifs,4,10,15,1,2,False,0.8,True,40,0.74,19.31
Motifs,4,10,15,1,2,False,0.8,True,40,0.71,17.94
Motifs,4,10,15,1,2,False,0.9,True,40,0.78,20.5
Motifs,4,10,15,1,2,False,0.9,True,40,0.72,26.27
Motifs,4,10,15,1,2,False,0.9,True,40,0.75,21.47
Both,4,20,10,0,2,True,0.3,True,20,0.8,26.18
Both,4,20,10,0,2,False,1,True,20,0.72,74.68
